index,price
0,155.28
1,123.38
2,132.5
3,126.74
4,113.04
5,114.62
6,150.19
7,122.89
8,101.26
9,149.95
10,128.44
11,126.41
12,133.72
13,131.03
14,124.49
15,145.26
16,115.27
17,125.39
18,112.06
19,131.44
20,103.76
21,115.51
22,132.55
23,133.4
24,107.95
25,139.18
26,126.88
27,130.59
28,134.32
29,125.83
30,118.5
31,116.0
32,116.07
33,126.29
34,143.33
35,130.53
36,113.78
37,112.31
38,116.84
39,142.2
40,123.34
41,118.06
42,121.0
43,122.0
44,137.08
45,111.87
46,111.98
47,110.1
48,114.6
49,104.44
50,129.12
51,118.55
52,121.88
53,105.98
54,124.47
55,117.93
56,122.67
57,122.69
58,92.36
59,73.2
60,78.00666666666667
61,72.07
62,77.1
63,70.89
64,95.06
65,100.19
66,81.045
67,83.57
68,85.78
69,96.06
70,77.82
71,86.48
72,74.86
73,86.595
74,99.95
75,89.45
76,97.93
77,87.84
78,85.71
79,79.68
80,83.83
81,74.06
82,86.17
83,77.77
84,84.25
85,92.11
86,97.4
87,64.665
88,67.14333333333333
89,64.76
90,69.72833333333332
91,75.61
92,71.66
93,78.8
94,69.27
95,72.48
96,106.32
97,89.58
98,69.59
99,92.17
100,80.06
101,67.6
102,73.53
103,70.23
104,57.72
105,74.15
106,74.2
107,61.4
108,72.69
109,72.21
110,87.99
111,93.4
112,73.36
113,80.17
114,68.9
115,70.87
116,68.84
117,81.49
118,75.67
119,80.66
120,73.55
121,135.12
122,82.81
123,74.93
124,79.91
125,64.75
126,65.91
127,84.65
128,85.83
129,67.39
130,95.35
131,81.04
132,66.39
133,55.74
134,86.11
135,57.07
136,83.98
137,76.23
138,73.39
139,72.33
140,66.56
141,87.89
142,91.32
143,72.57
144,82.54
145,83.82
146,77.07
147,76.8
148,104.98
149,74.84
150,84.12
151,66.14
152,82.13
153,76.47
154,88.57
155,72.93
156,101.68
157,66.17
158,68.94
159,71.95
160,72.08
161,78.24
162,84.64
163,75.92
164,93.53
165,73.44
166,65.2
167,65.65
168,85.27
169,64.94
170,108.19
171,79.95
172,120.32
173,107.77
174,89.05
175,90.17
176,163.25
177,125.18
178,132.97
179,141.46
180,155.87
181,110.14
182,144.35
183,167.17
184,145.16
185,144.16
186,169.84
187,141.53
188,134.31
189,133.22
190,171.48
191,120.04
192,137.08
193,141.32
194,144.87
195,164.62
196,171.23
197,138.48
198,132.9
199,126.17
200,125.59
201,127.02
202,145.84
203,133.23
204,183.28
205,124.43
206,151.97
207,134.5
208,148.85
209,166.86
210,135.32
211,151.69
212,171.67
213,142.38
214,154.78
215,179.88
216,161.88
217,161.97
218,147.67
219,116.7
220,109.81
221,157.565
222,170.96
223,120.26
224,143.31
225,169.1
226,125.28
227,145.79
228,128.95
229,146.42
230,145.07
231,118.1
232,115.9
233,141.76
234,155.08
235,142.84
236,155.5
237,177.09
238,145.86
239,105.93
240,139.49
241,139.22
242,121.31
243,148.96
244,144.86
245,175.13
246,170.46
247,148.98
248,157.7
249,150.59
250,133.97
251,129.72
252,136.85
253,131.6
254,143.88
255,154.74
256,132.1
257,135.1
258,156.5
259,119.09
260,147.78
261,186.41
262,172.03
263,151.12
264,140.87
265,136.16
266,130.79
267,122.97
268,141.5
269,125.2
270,128.79
271,121.13
272,146.67
273,110.91
274,137.77
275,114.46
276,111.92
277,119.12
278,109.16
279,115.64
280,124.05
281,110.41
282,92.66
283,139.46
284,160.33
285,114.19
286,135.55
287,118.42
288,115.86
289,142.76
290,123.01
291,128.71
292,110.4
293,112.27
294,104.65
295,108.12
296,120.17
297,104.16
298,119.41
299,160.57
300,127.35
301,103.15
302,115.48
303,143.74
304,107.2
305,159.56
306,125.06
307,108.11
308,136.11
309,111.66
310,106.05
311,106.8
312,127.56
313,92.22
314,120.65
315,117.04
316,118.74
317,117.22
318,111.21
319,114.54
320,132.89
321,118.06
322,118.21
323,127.64
324,119.29
325,113.44
326,133.24
327,144.46
328,140.35
329,106.76
330,132.38
