City,Date,Language,Mobile,Request Number,Avatar_id,Hotel_id,Price,Stock
valletta,2,bulgarian,1,1,134,55,109,10
valletta,2,bulgarian,1,1,134,81,71,0
valletta,2,bulgarian,1,1,134,106,133,0
valletta,2,bulgarian,1,1,134,134,151,0
valletta,2,bulgarian,1,1,134,200,146,10
valletta,2,bulgarian,1,1,134,209,173,3
valletta,2,bulgarian,1,1,134,237,74,0
valletta,2,bulgarian,1,1,134,244,266,1
valletta,2,bulgarian,1,1,134,282,213,4
valletta,2,bulgarian,1,1,134,295,86,10
valletta,2,bulgarian,1,1,134,325,156,0
valletta,2,bulgarian,1,1,134,334,159,0
valletta,2,bulgarian,1,1,134,360,70,0
valletta,2,bulgarian,1,1,134,363,251,1
valletta,2,bulgarian,1,1,134,371,154,0
valletta,2,bulgarian,1,1,134,376,266,1
valletta,2,bulgarian,1,1,134,377,64,1
valletta,2,bulgarian,1,1,134,400,143,2
valletta,2,bulgarian,1,1,134,404,96,0
valletta,2,bulgarian,1,1,134,424,142,2
valletta,2,bulgarian,1,1,134,466,68,0
valletta,2,bulgarian,1,1,134,476,77,0
valletta,2,bulgarian,1,1,134,480,260,1
valletta,2,bulgarian,1,1,134,501,167,3
valletta,2,bulgarian,1,1,134,504,378,2
valletta,2,bulgarian,1,1,134,512,264,1
valletta,2,bulgarian,1,1,134,521,86,0
valletta,2,bulgarian,1,1,134,592,115,6
valletta,2,bulgarian,1,1,134,598,154,4
valletta,2,bulgarian,1,1,134,639,143,2
valletta,2,bulgarian,1,1,134,643,117,0
valletta,2,bulgarian,1,1,134,709,94,0
valletta,2,bulgarian,1,1,134,718,133,0
valletta,2,bulgarian,1,1,134,719,376,2
valletta,2,bulgarian,1,1,134,732,132,0
valletta,2,bulgarian,1,1,134,746,173,3
valletta,2,bulgarian,1,1,134,749,147,2
valletta,2,bulgarian,1,1,134,832,132,0
valletta,2,bulgarian,1,1,134,859,75,0
valletta,2,bulgarian,1,1,134,861,135,0
valletta,2,bulgarian,1,1,134,905,157,0
valletta,2,bulgarian,1,1,134,965,75,1
valletta,2,bulgarian,1,1,134,985,118,0
valletta,2,bulgarian,1,1,134,988,143,2
amsterdam,12,german,1,1,143,567,91,3
amsterdam,12,german,1,1,143,630,153,0
amsterdam,12,german,1,1,143,105,173,12
amsterdam,12,german,1,1,143,591,313,20
amsterdam,12,german,1,1,143,465,325,18
amsterdam,12,german,1,1,143,157,295,22
amsterdam,12,german,1,1,143,117,74,5
amsterdam,12,german,1,1,143,625,211,15
amsterdam,12,german,1,1,143,317,195,17
amsterdam,12,german,1,1,143,163,173,18
amsterdam,12,german,1,1,143,570,107,4
amsterdam,12,german,1,1,143,760,220,11
amsterdam,12,german,1,1,143,430,157,28
amsterdam,12,german,1,1,143,706,125,0
amsterdam,12,german,1,1,143,234,173,8
amsterdam,12,german,1,1,143,679,150,3
amsterdam,12,german,1,1,143,507,125,10
amsterdam,12,german,1,1,143,442,190,16
amsterdam,12,german,1,1,143,821,109,9
amsterdam,12,german,1,1,143,685,325,13
amsterdam,12,german,1,1,143,510,352,22
amsterdam,12,german,1,1,143,715,173,9
amsterdam,12,german,1,1,143,193,147,7
amsterdam,12,german,1,1,143,214,235,9
amsterdam,12,german,1,1,143,352,99,30
amsterdam,12,german,1,1,143,256,78,0
amsterdam,12,german,1,1,143,140,151,5
amsterdam,12,german,1,1,143,548,227,38
amsterdam,12,german,1,1,143,85,125,6
amsterdam,12,german,1,1,143,218,233,9
amsterdam,12,german,1,1,143,628,150,8
amsterdam,12,german,1,1,143,745,103,9
amsterdam,12,german,1,1,143,752,326,15
amsterdam,12,german,1,1,143,788,108,0
amsterdam,12,german,1,1,143,211,147,0
amsterdam,12,german,1,1,143,724,295,21
amsterdam,12,german,1,1,143,762,173,12
amsterdam,12,german,1,1,143,223,150,0
amsterdam,12,german,1,1,143,86,111,0
amsterdam,12,german,1,1,143,783,99,0
amsterdam,12,german,1,1,143,196,109,0
amsterdam,12,german,1,1,143,588,173,0
amsterdam,12,german,1,1,143,581,148,6
amsterdam,12,german,1,1,143,366,78,0
amsterdam,12,german,1,1,143,917,328,18
amsterdam,12,german,1,1,143,594,272,23
amsterdam,12,german,1,1,143,346,237,13
amsterdam,12,german,1,1,143,867,147,2
amsterdam,12,german,1,1,143,111,145,7
amsterdam,12,german,1,1,143,9,84,0
amsterdam,12,german,1,1,143,880,129,0
amsterdam,12,german,1,1,143,777,178,8
amsterdam,12,german,1,1,143,101,322,14
amsterdam,12,german,1,1,143,933,150,0
amsterdam,12,german,1,1,143,369,75,0
amsterdam,12,german,1,1,143,902,209,17
amsterdam,12,german,1,1,143,307,125,9
amsterdam,12,german,1,1,143,88,131,2
amsterdam,12,german,1,1,143,373,143,6
amsterdam,12,german,1,1,143,505,108,7
amsterdam,12,german,1,1,143,482,80,0
amsterdam,12,german,1,1,143,627,105,0
amsterdam,12,german,1,1,143,778,108,0
amsterdam,12,german,1,1,143,460,83,0
amsterdam,12,german,1,1,143,455,174,14
amsterdam,12,german,1,1,143,674,134,9
amsterdam,12,german,1,1,143,878,108,12
amsterdam,12,german,1,1,143,283,114,10
amsterdam,12,german,1,1,143,52,173,10
amsterdam,12,german,1,1,143,103,180,31
amsterdam,12,german,1,1,143,918,336,19
amsterdam,12,german,1,1,143,429,248,31
amsterdam,12,german,1,1,143,493,174,6
amsterdam,12,german,1,1,143,517,114,11
amsterdam,12,german,1,1,143,16,176,0
amsterdam,12,german,1,1,143,475,105,0
amsterdam,12,german,1,1,143,515,330,14
amsterdam,12,german,1,1,143,585,74,13
amsterdam,12,german,1,1,143,311,102,19
amsterdam,12,german,1,1,143,835,102,34
amsterdam,12,german,1,1,143,264,79,0
amsterdam,12,german,1,1,143,807,323,13
amsterdam,12,german,1,1,143,212,235,9
amsterdam,12,german,1,1,143,146,211,15
amsterdam,12,german,1,1,143,158,176,12
amsterdam,12,german,1,1,143,676,87,4
amsterdam,12,german,1,1,143,10,151,4
amsterdam,12,german,1,1,143,172,131,6
amsterdam,12,german,1,1,143,891,122,6
amsterdam,12,german,1,1,143,303,211,10
amsterdam,12,german,1,1,143,83,174,12
amsterdam,12,german,1,1,143,587,151,0
amsterdam,12,german,1,1,143,224,142,22
amsterdam,12,german,1,1,143,603,285,15
amsterdam,12,german,1,1,143,82,108,8
amsterdam,12,german,1,1,143,387,330,13
amsterdam,12,german,1,1,143,604,129,9
amsterdam,12,german,1,1,143,34,78,1
amsterdam,12,german,1,1,143,657,174,13
amsterdam,12,german,1,1,143,971,176,12
amsterdam,12,german,1,1,143,230,150,5
amsterdam,12,german,1,1,143,450,170,39
amsterdam,12,german,1,1,143,253,315,21
amsterdam,12,german,1,1,143,680,150,0
amsterdam,12,german,1,1,143,77,334,13
amsterdam,12,german,1,1,143,441,211,17
amsterdam,12,german,1,1,143,12,78,1
amsterdam,12,german,1,1,143,743,165,12
amsterdam,12,german,1,1,143,750,112,9
amsterdam,12,german,1,1,143,945,178,10
amsterdam,12,german,1,1,143,779,207,15
amsterdam,12,german,1,1,143,892,224,9
amsterdam,12,german,1,1,143,658,176,9
amsterdam,12,german,1,1,143,809,323,15
amsterdam,12,german,1,1,143,166,118,10
amsterdam,12,german,1,1,143,967,78,10
amsterdam,12,german,1,1,143,960,330,14
amsterdam,12,german,1,1,143,921,91,12
amsterdam,12,german,1,1,143,22,173,7
amsterdam,12,german,1,1,143,417,176,4
amsterdam,12,german,1,1,143,45,174,5
amsterdam,12,german,1,1,143,269,151,0
amsterdam,12,german,1,1,143,925,123,5
amsterdam,12,german,1,1,143,916,134,10
amsterdam,12,german,1,1,143,557,111,0
amsterdam,12,german,1,1,143,806,266,28
amsterdam,12,german,1,1,143,271,81,0
amsterdam,12,german,1,1,143,326,285,21
amsterdam,12,german,1,1,143,660,171,8
amsterdam,12,german,1,1,143,969,84,5
amsterdam,12,german,1,1,143,375,105,0
amsterdam,12,german,1,1,143,529,269,14
amsterdam,12,german,1,1,143,410,126,10
copenhagen,9,latvian,1,1,144,422,401,9
copenhagen,9,latvian,1,1,144,849,206,8
copenhagen,9,latvian,1,1,144,96,162,5
copenhagen,9,latvian,1,1,144,487,173,21
copenhagen,9,latvian,1,1,144,711,146,8
copenhagen,9,latvian,1,1,144,251,171,1
copenhagen,9,latvian,1,1,144,983,95,2
copenhagen,9,latvian,1,1,144,716,149,0
copenhagen,9,latvian,1,1,144,772,340,0
copenhagen,9,latvian,1,1,144,893,238,0
copenhagen,9,latvian,1,1,144,908,501,9
copenhagen,9,latvian,1,1,144,596,177,0
copenhagen,9,latvian,1,1,144,90,208,9
copenhagen,9,latvian,1,1,144,611,212,4
copenhagen,9,latvian,1,1,144,727,126,0
copenhagen,9,latvian,1,1,144,655,450,9
copenhagen,9,latvian,1,1,144,766,487,9
copenhagen,9,latvian,1,1,144,349,268,8
copenhagen,9,latvian,1,1,144,539,290,18
copenhagen,9,latvian,1,1,144,365,98,0
copenhagen,9,latvian,1,1,144,691,93,0
copenhagen,9,latvian,1,1,144,445,93,0
copenhagen,9,latvian,1,1,144,267,180,0
copenhagen,9,latvian,1,1,144,855,262,8
copenhagen,9,latvian,1,1,144,770,350,6
copenhagen,9,latvian,1,1,144,113,89,4
copenhagen,9,latvian,1,1,144,869,489,8
copenhagen,9,latvian,1,1,144,506,154,3
copenhagen,9,latvian,1,1,144,385,344,9
copenhagen,9,latvian,1,1,144,707,349,12
copenhagen,9,latvian,1,1,144,951,91,6
copenhagen,9,latvian,1,1,144,110,210,8
copenhagen,9,latvian,1,1,144,1,99,0
copenhagen,9,latvian,1,1,144,572,240,0
copenhagen,9,latvian,1,1,144,546,112,6
copenhagen,9,latvian,1,1,144,990,175,2
copenhagen,9,latvian,1,1,144,243,101,0
copenhagen,9,latvian,1,1,144,989,112,2
copenhagen,9,latvian,1,1,144,99,210,0
copenhagen,9,latvian,1,1,144,698,240,13
copenhagen,9,latvian,1,1,144,688,91,0
copenhagen,9,latvian,1,1,144,938,126,3
copenhagen,9,latvian,1,1,144,844,489,9
copenhagen,9,latvian,1,1,144,335,94,0
copenhagen,9,latvian,1,1,144,876,147,0
copenhagen,9,latvian,1,1,144,43,83,25
copenhagen,9,latvian,1,1,144,622,200,6
copenhagen,9,latvian,1,1,144,519,260,8
copenhagen,9,latvian,1,1,144,100,91,0
copenhagen,9,latvian,1,1,144,497,280,8
copenhagen,9,latvian,1,1,144,391,199,9
copenhagen,9,latvian,1,1,144,961,238,12
copenhagen,9,latvian,1,1,144,829,210,9
copenhagen,9,latvian,1,1,144,431,128,0
copenhagen,9,latvian,1,1,144,958,249,0
copenhagen,9,latvian,1,1,144,53,98,0
copenhagen,9,latvian,1,1,144,300,151,6
copenhagen,9,latvian,1,1,144,638,159,20
copenhagen,9,latvian,1,1,144,122,416,16
copenhagen,9,latvian,1,1,144,443,151,7
copenhagen,9,latvian,1,1,144,319,396,17
copenhagen,9,latvian,1,1,144,981,114,2
copenhagen,9,latvian,1,1,144,523,108,6
copenhagen,9,latvian,1,1,144,367,100,3
copenhagen,9,latvian,1,1,144,793,174,0
copenhagen,9,latvian,1,1,144,23,206,9
copenhagen,9,latvian,1,1,144,556,182,0
copenhagen,9,latvian,1,1,144,434,119,0
copenhagen,9,latvian,1,1,144,559,311,6
copenhagen,9,latvian,1,1,144,562,340,6
copenhagen,9,latvian,1,1,144,348,206,8
copenhagen,9,latvian,1,1,144,994,201,9
copenhagen,9,latvian,1,1,144,898,96,0
copenhagen,9,latvian,1,1,144,433,149,7
copenhagen,9,latvian,1,1,144,726,338,17
copenhagen,9,latvian,1,1,144,124,372,15
copenhagen,9,latvian,1,1,144,435,484,9
copenhagen,9,latvian,1,1,144,142,406,17
copenhagen,9,latvian,1,1,144,518,202,4
copenhagen,9,latvian,1,1,144,402,134,0
copenhagen,9,latvian,1,1,144,872,97,6
copenhagen,9,latvian,1,1,144,664,492,9
copenhagen,9,latvian,1,1,144,720,487,9
copenhagen,9,latvian,1,1,144,624,346,6
copenhagen,9,latvian,1,1,144,194,123,0
copenhagen,9,latvian,1,1,144,202,206,9
copenhagen,9,latvian,1,1,144,318,147,7
copenhagen,9,latvian,1,1,144,959,230,13
copenhagen,9,latvian,1,1,144,153,346,6
copenhagen,9,latvian,1,1,144,405,101,0
copenhagen,9,latvian,1,1,144,894,401,13
copenhagen,9,latvian,1,1,144,309,98,0
copenhagen,9,latvian,1,1,144,481,99,0
copenhagen,9,latvian,1,1,144,532,356,6
copenhagen,9,latvian,1,1,144,930,122,12
copenhagen,9,latvian,1,1,144,995,223,13
copenhagen,9,latvian,1,1,144,514,363,13
copenhagen,9,latvian,1,1,144,690,224,15
copenhagen,9,latvian,1,1,144,6,125,0
copenhagen,9,latvian,1,1,144,463,101,0
copenhagen,9,latvian,1,1,144,695,210,8
copenhagen,9,latvian,1,1,144,78,481,9
copenhagen,9,latvian,1,1,144,401,204,8
copenhagen,9,latvian,1,1,144,508,282,9
copenhagen,9,latvian,1,1,144,92,88,10
copenhagen,9,latvian,1,1,144,865,288,21
copenhagen,9,latvian,1,1,144,249,91,7
copenhagen,9,latvian,1,1,144,36,201,0
copenhagen,9,latvian,1,1,144,818,180,0
copenhagen,9,latvian,1,1,144,60,98,0
copenhagen,9,latvian,1,1,144,528,365,9
copenhagen,9,latvian,1,1,144,834,95,0
copenhagen,9,latvian,1,1,144,757,157,7
