index,price
0,110.0
1,132.0
2,69.0
3,58.0
4,190.0
5,110.0
6,59.0
7,114.0
8,115.0
9,109.0
10,142.0
11,69.0
12,59.0
13,214.0
14,109.0
15,59.0
16,122.0
17,122.0
18,162.0
19,110.0
20,165.0
21,194.0
22,163.0
23,124.0
24,109.0
25,124.0
26,90.0
27,279.0
28,164.0
29,111.0
30,166.0
31,196.0
32,165.0
33,125.0
34,110.0
35,126.0
36,91.0
37,91.0
38,351.0
39,334.0
40,339.0
41,144.0
42,233.0
43,96.0
44,189.0
45,95.0
46,352.0
47,196.0
48,364.0
49,139.0
50,73.0
51,92.0
52,146.0
53,159.0
54,106.0
55,142.0
56,134.0
57,136.0
58,158.0
59,138.0
60,220.0
61,84.0
62,69.0
63,146.0
64,213.0
65,70.0
66,156.0
67,108.0
68,144.0
69,138.0
70,143.0
71,165.0
72,145.0
73,229.0
74,85.0
75,71.0
76,148.0
77,220.0
78,71.0
79,160.0
80,187.0
81,181.0
82,273.0
83,73.0
84,139.0
85,134.0
86,222.0
87,182.0
88,110.0
89,202.0
90,72.0
91,110.0
92,145.0
93,144.0
94,143.0
95,168.0
96,145.0
97,248.0
98,85.0
99,71.0
100,149.0
101,229.0
102,71.0
103,165.0
104,111.0
105,145.0
106,145.0
107,144.0
108,178.0
109,146.0
110,258.0
111,86.0
112,71.0
113,147.0
114,247.0
115,71.0
116,167.0
117,221.0
118,212.0
119,284.0
120,69.0
121,139.0
122,128.0
123,223.0
124,218.0
125,111.0
126,218.0
127,73.0
128,154.0
129,160.0
130,105.0
131,117.0
132,236.0
133,341.0
134,103.0
135,122.0
136,239.0
137,357.0
138,145.0
139,77.0
140,97.0
141,146.0
142,78.0
143,97.0
144,112.0
145,153.0
146,82.0
147,104.0
148,82.0
149,113.0
150,112.0
151,152.0
152,104.0
153,104.0
154,175.0
155,119.0
156,131.0
157,85.0
158,125.0
159,194.0
160,169.0
161,267.0
162,269.0
163,169.0
164,175.0
165,166.0
166,117.0
167,129.0
168,80.0
169,120.0
170,186.0
171,166.0
172,268.0
173,263.0
174,165.0
175,166.0
176,290.0
177,271.0
178,279.0
179,126.0
180,202.0
181,86.0
182,171.0
183,87.0
184,276.0
185,176.0
186,290.0
187,306.0
188,278.0
189,295.0
190,129.0
191,202.0
192,86.0
193,172.0
194,89.0
195,293.0
196,178.0
197,320.0
198,313.0
199,295.0
200,309.0
201,131.0
202,207.0
203,87.0
204,173.0
205,90.0
206,313.0
207,179.0
208,334.0
209,314.0
210,293.0
211,305.0
212,137.0
213,217.0
214,93.0
215,183.0
216,95.0
217,308.0
218,190.0
219,325.0
220,264.0
221,92.0
222,288.0
223,421.0
224,402.0
225,419.0
226,158.0
227,157.0
228,403.0
229,402.0
230,288.0
231,85.0
232,113.0
233,113.0
234,113.0
235,168.0
236,113.0
237,113.0
238,112.0
239,96.0
240,202.0
241,114.0
242,113.0
243,114.0
244,169.0
245,114.0
246,114.0
247,113.0
248,97.0
249,203.0
250,97.0
251,338.0
252,116.0
253,233.0
254,110.0
255,138.0
256,69.0
257,58.0
258,199.0
259,110.0
260,59.0
261,115.0
262,116.0
263,109.0
264,142.0
265,69.0
266,59.0
267,214.0
268,109.0
269,59.0
270,122.0
271,122.0
272,109.0
273,149.0
274,70.0
275,58.0
276,229.0
277,109.0
278,59.0
279,124.0
280,124.0
281,60.0
282,276.0
283,116.0
284,191.0
285,153.0
286,160.0
287,123.0
288,112.0
289,178.0
290,298.0
291,77.0
292,200.0
293,155.0
294,162.0
295,129.0
296,114.0
297,187.0
298,301.0
299,78.0
300,347.0
301,352.0
302,245.0
303,347.0
304,144.0
305,326.0
306,220.0
307,146.0
308,84.0
309,101.0
310,65.0
