index,price
0,110.0
1,131.0
2,68.0
3,59.0
4,190.0
5,110.0
6,58.0
7,117.0
8,118.0
9,108.0
10,141.0
11,69.0
12,60.0
13,217.0
14,109.0
15,59.0
16,124.0
17,125.0
18,163.0
19,109.0
20,166.0
21,193.0
22,162.0
23,122.0
24,108.0
25,123.0
26,89.0
27,281.0
28,165.0
29,110.0
30,168.0
31,196.0
32,164.0
33,124.0
34,110.0
35,125.0
36,90.0
37,90.0
38,352.0
39,338.0
40,343.0
41,144.0
42,233.0
43,96.0
44,191.0
45,94.0
46,357.0
47,199.0
48,371.0
49,139.0
50,73.0
51,96.0
52,147.0
53,161.0
54,104.0
55,144.0
56,134.0
57,139.0
58,161.0
59,141.0
60,224.0
61,84.0
62,69.0
63,147.0
64,213.0
65,70.0
66,158.0
67,105.0
68,144.0
69,138.0
70,144.0
71,167.0
72,145.0
73,232.0
74,84.0
75,68.0
76,146.0
77,219.0
78,70.0
79,160.0
80,187.0
81,182.0
82,270.0
83,71.0
84,136.0
85,136.0
86,228.0
87,183.0
88,108.0
89,205.0
90,71.0
91,107.0
92,145.0
93,144.0
94,144.0
95,171.0
96,146.0
97,250.0
98,84.0
99,69.0
100,145.0
101,228.0
102,70.0
103,166.0
104,108.0
105,146.0
106,145.0
107,145.0
108,182.0
109,147.0
110,260.0
111,84.0
112,69.0
113,140.0
114,244.0
115,70.0
116,168.0
117,225.0
118,212.0
119,249.0
120,58.0
121,138.0
122,127.0
123,224.0
124,220.0
125,110.0
126,219.0
127,72.0
128,156.0
129,162.0
130,110.0
131,118.0
132,239.0
133,353.0
134,108.0
135,123.0
136,237.0
137,364.0
138,146.0
139,78.0
140,102.0
141,147.0
142,78.0
143,102.0
144,113.0
145,154.0
146,81.0
147,105.0
148,82.0
149,112.0
150,113.0
151,153.0
152,105.0
153,105.0
154,176.0
155,120.0
156,130.0
157,84.0
158,124.0
159,194.0
160,170.0
161,268.0
162,272.0
163,171.0
164,176.0
165,167.0
166,115.0
167,126.0
168,79.0
169,119.0
170,184.0
171,165.0
172,266.0
173,263.0
174,166.0
175,165.0
176,294.0
177,276.0
178,282.0
179,125.0
180,203.0
181,86.0
182,172.0
183,86.0
184,279.0
185,178.0
186,294.0
187,305.0
188,278.0
189,295.0
190,128.0
191,202.0
192,86.0
193,173.0
194,88.0
195,291.0
196,179.0
197,320.0
198,311.0
199,295.0
200,308.0
201,130.0
202,205.0
203,87.0
204,175.0
205,87.0
206,311.0
207,182.0
208,336.0
209,318.0
210,298.0
211,308.0
212,136.0
213,220.0
214,93.0
215,186.0
216,94.0
217,310.0
218,192.0
219,328.0
220,266.0
221,92.0
222,291.0
223,424.0
224,395.0
225,423.0
226,164.0
227,162.0
228,411.0
229,395.0
230,291.0
231,85.0
232,114.0
233,112.0
234,114.0
235,169.0
236,113.0
237,114.0
238,112.0
239,95.0
240,200.0
241,115.0
242,113.0
243,114.0
244,170.0
245,113.0
246,114.0
247,113.0
248,95.0
249,202.0
250,96.0
251,339.0
252,116.0
253,234.0
254,110.0
255,137.0
256,69.0
257,59.0
258,199.0
259,110.0
260,59.0
261,118.0
262,119.0
263,108.0
264,141.0
265,69.0
266,60.0
267,218.0
268,109.0
269,59.0
270,124.0
271,125.0
272,105.0
273,145.0
274,70.0
275,60.0
276,232.0
277,106.0
278,59.0
279,127.0
280,127.0
281,61.0
282,284.0
283,115.0
284,194.0
285,157.0
286,164.0
287,123.0
288,113.0
289,178.0
290,304.0
291,78.0
292,207.0
293,160.0
294,167.0
295,130.0
296,116.0
297,187.0
298,310.0
299,79.0
300,356.0
301,368.0
302,249.0
303,356.0
304,146.0
305,333.0
306,218.0
307,150.0
308,85.0
309,100.0
310,65.0
311,51.0
312,96.0
313,96.0
314,100.0
315,65.0
316,51.0
317,97.0
318,101.0
319,104.0
320,69.0
321,53.0
322,107.0
323,104.0
324,270.0
325,159.0
326,106.0
327,163.0
328,189.0
329,159.0
330,119.0
331,106.0
332,121.0
333,86.0
334,86.0
335,113.0
336,112.0
337,113.0
338,168.0
339,112.0
340,113.0
341,112.0
342,95.0
343,200.0
344,106.0
345,146.0
346,70.0
347,62.0
348,233.0
349,107.0
350,59.0
351,126.0
352,126.0
353,98.0
354,64.0
355,144.0
356,47.0
357,116.0
358,138.0
359,73.0
360,63.0
361,202.0
362,116.0
363,62.0
364,125.0
365,126.0
366,100.0
367,317.0
368,120.0
369,229.0
370,79.0
371,79.0
372,124.0
373,80.0
374,66.0
375,89.0
376,79.0
377,79.0
378,67.0
379,79.0
380,197.0
381,203.0
382,249.0
383,69.0
384,135.0
385,136.0
386,228.0
387,212.0
388,107.0
389,222.0
390,71.0
391,112.0
392,152.0
393,81.0
394,105.0
395,81.0
396,110.0
397,112.0
398,151.0
399,105.0
400,105.0
401,133.0
402,417.0
403,153.0
404,161.0
405,77.0
406,277.0
407,415.0
408,277.0
409,272.0
410,411.0
411,379.0
412,272.0
413,381.0
414,411.0
415,172.0
416,142.0
417,150.0
418,113.0
419,106.0
420,162.0
421,247.0
422,74.0
423,287.0
424,284.0
425,274.0
426,129.0
427,201.0
